timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand
7753,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10238874.6,62258.69,1.601831479125174e-07,393162.0,True,0.3202279333333333,0.3241853310416142,9.870896895435473e-09
7826,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10289419.1,26102.504,1.2760549016355639e-07,354670.0,True,0.321511,0.32957390137016773,4.2535163387852124e-08
7898,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10228555.2,14139.0,1.601831479125174e-07,371013.0,True,0.3209662333333333,0.3312558145262301,9.870896895435473e-09
7976,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10175089.7,23925.426,1.2760549016355639e-07,306489.0,True,0.3231170333333333,0.3298874568815032,4.2535163387852124e-08
8056,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-11071424.5,127222.44,3.2397060899103326e-08,1129170.0,True,0.2956943333333333,0.3166383393108845,0.0
8112,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10107325.8,13758.478,1.4672357737607234e-07,122300.0,True,0.32925666666666664,0.33142121555283666,0.0
8166,0,0.012335032224655151,-1.884429920092225,0.11806640625,0.0,1,-10615864.600000001,527.25006,-3.727261717047468e-08,709764.0,True,0.30967453333333333,0.33325749349993805,5.2152990717735804e-08
8223,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10166109.1,437809.5,-3.664067308330631e-07,854943.0,True,0.3048352333333333,0.26900364458560944,0.0
8284,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10058892.899999999,37207.03,2.2146746067014045e-07,61041.0,True,0.3312986333333333,0.3284507735321919,3.275193228103811e-08
8365,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10181701.399999999,5645.8467,1.2760549016355639e-07,258096.0,True,0.32473013333333334,0.3325201862026006,4.2535163387852124e-08
8445,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10862577.899999999,46741.355,1.2760549016355639e-07,1129170.0,True,0.2956943333333333,0.326601376136144,4.2535163387852124e-08
8538,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10409720.899999999,406019.38,1.9116463524446848e-07,419406.0,True,0.3193531333333333,0.27493136127789813,1.282987267708801e-07
8626,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10156712.799999999,84519.836,3.2397060899103326e-08,709764.0,True,0.30967453333333333,0.32224206502238906,0.0
8718,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10248965.7,21841.982,2.2403036548552096e-07,396822.6,True,0.3201059133333333,0.33029779077817994,1.1228362662782058e-08
8775,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10055214.5,445059.44,2.2146746067014045e-07,854943.0,True,0.3048352333333333,0.274929607907931,3.275193228103811e-08
8859,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10745169.499999998,527.25006,1.601831479125174e-07,880752.6,True,0.3039749133333333,0.33325586166271626,9.870896895435473e-09
8927,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10142607.5,14242.988,-3.664067308330631e-07,232370.0,True,0.32558766666666666,0.33124053493763006,0.0
8981,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10028725.2,3504.1382,2.2146746067014045e-07,709764.0,True,0.30967453333333333,0.3328734964986021,3.275193228103811e-08
9038,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10432055.2,527.25006,-1.4921014094110276e-07,648190.0,True,0.311727,0.33325739576442476,0.0
9098,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10113450.299999999,12302.527,-3.727261717047468e-08,274227.0,True,0.3241924333333333,0.3315637335181236,5.2152990717735804e-08
9163,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10512228.499999998,5565.2065,2.2146746067014045e-07,516192.0,True,0.3161269333333333,0.33260302905303735,3.275193228103811e-08
9223,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10146758.399999999,126260.97,1.4672357737607234e-07,151903.5,True,0.3282698833333333,0.31578590845068294,0.0
9295,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10142861.799999999,754139.94,3.2397060899103326e-08,281290.0,True,0.323957,0.23436996340751648,0.0
9359,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10041969.299999999,36585.703,1.4672357737607234e-07,406940.0,True,0.31976866666666665,0.3282487463826934,0.0
9417,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10372104.1,19347.59,-1.4921014094110276e-07,396822.6,True,0.3201059133333333,0.33054678297291196,0.0
9481,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10275001.4,26479.232,3.339570737016317e-07,489200.0,True,0.3170266666666667,0.32948134280741215,4.6367547787880726e-08
9545,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10097815.3,29705.268,-3.727261717047468e-08,489200.0,True,0.3170266666666667,0.32906051725149155,5.2152990717735804e-08
9598,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10092153.6,2847.997,2.2146746067014045e-07,97840.0,True,0.330072,0.3329595997929573,3.275193228103811e-08
9661,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10295414.6,75708.86,3.339570737016317e-07,483930.0,True,0.3172023333333333,0.32231980313857395,4.6367547787880726e-08
9724,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10056744.7,135451.45,1.4672357737607234e-07,483930.0,True,0.3172023333333333,0.3145086380342642,0.0
9783,0,0.0110368262976408,-1.8883005063980818,0.14736328125,0.0,1,-10187708.700000001,1945.0367,-1.4921014094110276e-07,419406.0,True,0.3193531333333333,0.333053198022147,0.0
