timesteps,total_reward,kl_divergence,clip_fraction,entropy_loss,step_reward,cost_of_intervention,pressure_deficit,demand_satisfaction,pipe_changes,downgraded_pipes,budget_before_step,budget_exceeded,simulation_error
8600,,,,,0.085469181331503,4073127.379842809,1.0,0.9999999922367828,5,,500000.0,True,
8600,,,,,0.08032215272194516,8694600.451782895,1.0,0.9999999993662835,17,,500000.0,True,
8600,,,,,0.07869733625632686,10160898.902380083,1.0,0.9999999962986362,17,,500000.0,True,
8600,,,,,0.0883535236733085,1479198.1468824088,1.0,0.9999999995793939,2,,500000.0,True,
8616,,,,,0.08881112952948757,1068454.1500665215,1.0,0.9999999863100992,1,,500000.0,True,
8944,,,,,0.08825961537683141,1563065.1987431352,1.0,0.9999999559828845,1,,500000.0,True,
8944,,,,,0.08915210178626219,761753.4485105325,1.0,0.9999999846820514,0,,500000.0,True,
8944,,,,,0.08744430022228983,2295639.6507970872,1.0,0.9999999517468117,3,,500000.0,True,
8944,,,,,0.08397126177547087,5419730.958487295,1.0,0.9999999832465337,11,,500000.0,True,
8944,,,,,0.0847107332447549,4751889.317316191,1.0,0.9999999880110932,8,,500000.0,True,
8944,,,,,0.08628825515066484,3336794.20092671,1.0,0.9999999922367828,6,,500000.0,True,
8944,,,,,0.08727456339691535,2448538.1932680155,1.0,0.9999999789375773,2,,500000.0,True,
8976,,,,,0.08876449003919512,1110369.9498184517,1.0,0.9999999997939052,1,,500000.0,True,
9288,,,,,0.08931087901070377,618909.9104984966,1.0,0.9999999907365752,1,,500000.0,True,
9288,,,,,0.08909011499280915,817442.802893943,1.0,1.0,0,,500000.0,True,
9288,,,,,0.08554139054079768,4004916.363980634,1.0,0.9999999854988063,8,,500000.0,True,
9288,,,,,0.08434358759583903,5085016.795040944,1.0,1.0,6,,500000.0,True,
9288,,,,,0.08857860798521194,1276981.6689109905,1.0,0.9999999879147656,4,,500000.0,True,
9288,,,,,0.08506594186038378,4435632.519539642,1.0,0.9999999832465337,9,,500000.0,True,
9288,,,,,0.08866552567389567,1198894.815813449,1.0,0.999999999057229,1,,500000.0,True,
9336,,,,,0.08912885332438697,782911.1145183981,1.0,0.9999999723830912,0,,500000.0,True,
9632,,,,,0.08821447781842812,1603604.7182343593,1.0,0.9999999999339655,1,,500000.0,True,
9632,,,,,0.08780574858336615,1971320.2149646822,1.0,0.9999999804085031,1,,500000.0,True,
9632,,,,,0.08793759042313382,1852545.838895259,1.0,1.0,2,,500000.0,True,
9632,,,,,0.08642276055847109,3194519.278895259,1.0,0.998812155687463,5,,500000.0,True,
9632,,,,,0.08859177076051394,1265156.418168363,1.0,1.0,1,,500000.0,True,
9696,,,,,0.08873465189992057,1137185.759183623,1.0,0.999999991970306,1,,500000.0,True,
9976,,,,,0.08931241365348586,617531.2947597735,1.0,0.9999999723850028,0,,500000.0,True,
9976,,,,,0.08906762356147342,837649.1472041226,1.0,0.9999999994535274,0,,500000.0,True,
9976,,,,,0.08783263559820474,1946820.4618257815,1.0,0.999999980054286,2,,500000.0,True,
9976,,,,,0.08463847270403692,4819919.578003967,1.0,0.9999999659886787,7,,500000.0,True,
9976,,,,,0.07384981195516638,13632654.402199335,1.0,0.9507173506909926,32,,1500000.0,True,
9976,,,,,0.07544760391419703,13057760.98521757,1.0,0.9988495004609739,28,,1500000.0,True,
9976,,,,,0.08868310494570504,1183101.3604791965,1.0,0.9999999881084697,1,,500000.0,True,
10056,,,,,0.0891100136415175,799842.9019113411,1.0,0.9999999892327033,0,,500000.0,True,
10320,,,,,0.08787953673756684,1904420.4155459139,1.0,1.0,1,,500000.0,True,
10320,,,,,0.08910724423526098,802053.6924103592,1.0,0.9999999911344416,0,,500000.0,True,
10320,,,,,0.08846228506975809,1264540.8838838586,1.0,0.99350390794353,1,,500000.0,True,
10320,,,,,0.08628589057909997,3338919.9194279686,1.0,0.9999999927714697,4,,500000.0,True,
10320,,,,,0.08221546747210225,6998159.932041621,1.0,1.0,15,,500000.0,True,
10320,,,,,0.08320905362458275,6103117.650277812,1.0,0.9999999926886574,13,,500000.0,True,
10320,,,,,0.08872214221322529,1148030.2282995805,1.0,0.9999999903119043,1,,500000.0,True,
10416,,,,,0.08845589749940017,1387705.8645474243,1.0,0.9999999728239276,1,,500000.0,True,
10664,,,,,0.08862645189932282,1233603.940027768,1.0,0.9999999682464479,1,,500000.0,True,
10664,,,,,0.08906177813634525,842900.47416902,1.0,0.9999999874020618,0,,500000.0,True,
10664,,,,,0.08479267714177441,4677443.511219623,1.0,1.0,7,,500000.0,True,
10664,,,,,0.0883263021400203,1504625.241550416,1.0,0.9999999916627464,2,,500000.0,True,
10664,,,,,0.08179384493675386,7377191.223219623,1.0,0.9999999962986362,13,,500000.0,True,
10664,,,,,0.08271560802694865,6546583.985235595,1.0,0.9999999885824093,13,,500000.0,True,
10664,,,,,0.08833177217565497,1498739.528173119,1.0,0.999999987630372,1,,500000.0,True,
10776,,,,,0.08910624460341243,803229.9104119072,1.0,0.9999999737457125,0,,500000.0,True,
11008,,,,,0.08917200008629803,743639.2700796695,1.0,0.9999999950899038,0,,500000.0,True,
11008,,,,,0.08909562922425206,812488.4930083542,1.0,0.9999999826605985,0,,500000.0,True,
11008,,,,,0.08874850375761156,1124148.0689771157,1.0,0.9999999888543728,1,,500000.0,True,
11008,,,,,0.08727198747354523,2452435.9342861073,1.0,0.9999999953294295,2,,500000.0,True,
11008,,,,,0.08357974230171164,5771700.346804552,1.0,0.9999999922367828,7,,500000.0,True,
11008,,,,,0.08497539530006415,4515681.997014328,1.0,1.0,7,,500000.0,True,
11008,,,,,0.08921359935940748,706503.9713160729,1.0,0.9999999894290921,0,,500000.0,True,
11136,,,,,0.08916281415804618,752390.3149481122,1.0,0.9999999875767199,0,,500000.0,True,
11352,,,,,0.08925932338183219,665212.7455060118,1.0,0.9999999872819969,0,,500000.0,True,
11352,,,,,0.08905274350564857,851016.9370798753,1.0,0.9999999723596762,0,,500000.0,True,
11352,,,,,0.08867515237430024,1190035.56935847,1.0,0.9999999945722251,1,,500000.0,True,
11352,,,,,0.08825491753675138,1568798.8614756034,1.0,0.9999999971026011,2,,500000.0,True,
11352,,,,,0.08645145886651928,3190076.7250521146,1.0,0.9999999832465337,5,,500000.0,True,
