timesteps,total_reward,kl_divergence,entropy_loss,clip_fraction,step_reward,pipe_changes,cumulative_pipe_changes,cumulative_budget,pressure_deficit,demand_satisfaction,cost_of_intervention,simulation_success,weighted_cost,weighted_pd,weighted_demand,action_taken
20700,0.99805456,0.007132561,-0.44830353343859314,0.03955078125,0.9980545569425481,0,7463095.703785275,0.0,1.0,4863.607643630033,True,0.398054556942548,0.3,0.3,74,0
20800,0.9981046,0.007132561,-0.44830353343859314,0.03955078125,0.998104600709995,0,3851071.061869627,0.0,1.0,4738.498225012475,True,0.39810460070999504,0.3,0.3,74,0
20900,0.099810585,0.007132561,-0.44830353343859314,0.03955078125,0.09981058208611755,0,-582778.0626885695,0.0,1.0,4735.447847061248,True,0.3981058208611755,0.3,0.3,74,0
20942,0.0,0.007132561,-0.44830353343859314,0.03955078125,0.0,0,-1001072.472710456,0.0,1.0,4516.993512041131,True,0.39819320259518354,0.3,0.3,74,0
21000,0.83936584,0.007132561,-0.44830353343859314,0.03955078125,0.8393658153030497,0,12398809.62218137,132.52500553131102,0.5101654757527979,4667.418398824306,True,0.3981330326404703,0.29694730435085365,0.14428547831172578,74,0
21100,0.84039515,0.007132561,-0.44830353343859314,0.03955078125,0.8403951679239188,0,7794317.210835392,88.65090043544768,0.5101393029613224,4599.821788881361,True,0.39816007128444747,0.2979579384511834,0.14427715818828793,74,0
21200,0.9125755,0.007132561,-0.44830353343859314,0.03955078125,0.9125754841869916,0,3888032.765085041,53.927137298583986,0.7346325904181435,4560.276167780144,True,0.39817588953288796,0.298757795657187,0.21564179899691674,74,0
21300,0.06870729,0.007132561,-0.44830353343859314,0.03955078125,0.0687072880169534,0,-730535.9483886542,491.1424764633178,0.057302163762733456,4843.829211929956,True,0.39806246831522807,0.288686599219524,0.00032381263478188226,74,0
21398,0.0,0.007132561,-0.44830353343859314,0.03955078125,0.0,0,-1002626.8969037293,504.4774612426757,0.05743994481131537,4845.473191190243,True,0.3980618107235239,0.2883794296415702,0.0003676121405652151,74,0
21400,0.40665135,0.007132561,-0.44830353343859314,0.03955078125,0.40665134505000666,1,18601903.15396437,766.2034862136843,0.13078445108972825,749048.422983806,True,0.10038063080647759,0.28268624844567997,0.023584465797849126,75,4
21500,0.84921384,0.007132561,-0.44830353343859314,0.03955078125,0.8492138545655052,1,6473149.646489828,0.0,1.0,376965.3635862369,True,0.24921385456550527,0.3,0.3,76,4
21600,0.9980534,0.007132561,-0.44830353343859314,0.03955078125,0.9980533574906689,0,2407011.546846062,0.0,1.0,4866.606273327569,True,0.398053357490669,0.3,0.3,76,0
21700,0.09981353,0.007132561,-0.44830353343859314,0.03955078125,0.0998135306279246,0,-704956.0248400269,0.0,1.0,4661.734301885423,True,0.39813530627924587,0.3,0.3,76,0
21783,0.0,0.007132561,-0.44830353343859314,0.03955078125,0.0,0,-1000831.2527657067,0.0,1.0,4880.058225524098,True,0.3980479767097904,0.3,0.3,76,0
21800,0.6542713,0.007132561,-0.44830353343859314,0.03955078125,0.6542713224943446,0,15921200.951205546,2550.5940686035156,0.10630239620759295,4826.429739714557,True,0.39806942810411416,0.24020785690285668,0.01599403748737377,76,0
21900,0.690449,0.007132561,-0.44830353343859314,0.03955078125,0.6904490031542306,0,5574228.615726269,332.4199251174926,0.056526427553495906,4835.295688398573,True,0.3980658817246406,0.29220726654404505,0.00017585488554496838,76,0
22000,0.998324,0.007132561,-0.44830353343859314,0.03955078125,0.9983240034464895,0,2106571.4575572833,0.0,1.0,4189.991383776042,True,0.3983240034464896,0.3,0.3,76,0
22100,0.99837655,0.007132561,-0.44830353343859314,0.03955078125,0.9983765755870471,0,532641.2565728504,0.0,1.0,4058.5610323823666,True,0.3983765755870471,0.3,0.3,76,0
22177,0.0,0.007132561,-0.44830353343859314,0.03955078125,0.0,0,-1001209.7479891292,0.0,1.0,4105.260959053283,True,0.3983578956163787,0.3,0.3,76,0
22200,0.7556186,0.007132561,-0.44830353343859314,0.03955078125,0.7556185902386607,0,14116204.61814202,413.39833257675167,0.2678067642578857,4807.54170908206,True,0.3980769833163672,0.2901536653704848,0.06738794155180867,76,0
22300,0.8596667,0.007132561,-0.44830353343859314,0.03955078125,0.8596666869841352,0,9071316.007996183,131.86298931121826,0.5742100951169417,4806.192478878477,True,0.3980775230084486,0.2968592831279372,0.1647298808477493,76,0
22400,0.99813944,0.007132561,-0.44830353343859314,0.03955078125,0.9981394589280159,0,6904890.173990903,0.0,1.0,4651.3526799604015,True,0.39813945892801583,0.3,0.3,76,0
22500,0.99815845,0.007132561,-0.44830353343859314,0.03955078125,0.9981584577464773,0,383783.04766402405,0.0,1.0,4603.8556338068165,True,0.3981584577464773,0.3,0.3,76,0
22593,0.0,0.0034519085,-0.4082325122319162,0.02333984375,0.0,0,-1004145.4557658454,0.0,1.0,4647.887521068023,True,0.3981408449915728,0.3,0.3,76,0
22600,0.3795042,0.0034519085,-0.4082325122319162,0.02333984375,0.37950421843327437,1,18363308.09905887,2106.4985221862785,0.05568966549703714,675807.8319703564,True,0.12967686721185742,0.24982735122141694,0.0,77,5
22700,0.87468827,0.0034519085,-0.4082325122319162,0.02333984375,0.8746882919038684,0,12079413.157963157,54.26008690655232,0.6156886891950082,4816.612649300285,True,0.3980733549402799,0.29870763152483376,0.1779073054387548,77,0
22800,0.9120785,0.0034519085,-0.4082325122319162,0.02333984375,0.9120785251396615,0,8278517.990051094,59.46385280609131,0.7337446453426288,4794.803342603561,True,0.39808207866295864,0.29858368806318225,0.21541275841352056,77,0
22900,0.9981619,0.0034519085,-0.4082325122319162,0.02333984375,0.9981619222102243,0,5896591.719425488,0.0,1.0,4595.194474439505,True,0.39816192221022423,0.3,0.3,77,0
23000,0.99814063,0.0034519085,-0.4082325122319162,0.02333984375,0.9981406155013393,0,1476368.0384465014,0.0,1.0,4648.461246652134,True,0.39814061550133917,0.3,0.3,77,0
23100,0.09981315,0.0034519085,-0.4082325122319162,0.02333984375,0.09981314678741171,0,-63459.715223856896,0.0,1.0,4671.330314707357,True,0.3981314678741171,0.3,0.3,77,0
23200,0.09981075,0.0034519085,-0.4082325122319162,0.02333984375,0.09981074992059376,0,-584368.6589859629,0.0,1.0,4731.25198515617,True,0.3981074992059376,0.3,0.3,77,0
23219,0.0,0.0034519085,-0.4082325122319162,0.02333984375,0.0,0,-1001061.4710806293,0.0,1.0,4728.669622826085,True,0.3981085321508696,0.3,0.3,77,0
23300,0.6819767,0.0034519085,-0.4082325122319162,0.02333984375,0.6819766678657588,0,10539770.977157764,701.3874191284182,0.051016547575640066,4667.418557194898,True,0.39813303257712207,0.28384363528863676,0.0,77,0
23400,0.49976647,0.0034519085,-0.4082325122319162,0.02333984375,0.49976646661578583,1,6545868.824477584,840.9854282379154,0.056145116178361175,452153.86834782345,True,0.21913845266087062,0.2806280139549152,0.0,78,5
23500,0.68041503,0.0034519085,-0.4082325122319162,0.02333984375,0.6804150598663403,0,3771701.366924026,766.3919052124027,0.05606394377103815,4828.014606275927,True,0.39806879415748964,0.2823462657088507,0.0,78,0
23600,0.67806244,0.0034519085,-0.4082325122319162,0.02333984375,0.6780624607941822,0,158976.22182519446,882.3068813323979,0.057302163762733456,4843.829225383554,True,0.3980624683098466,0.2796761798495537,0.00032381263478188226,78,0
23689,0.0,0.0034519085,-0.4082325122319162,0.02333984375,0.0,0,-1002220.427641259,887.7111495971684,0.05743994481131537,4845.473326507394,True,0.39806181066939705,0.27955169325811724,0.0003676121405652151,78,0
23700,0.48414886,0.0034519085,-0.4082325122319162,0.02333984375,0.4841488693640348,1,18483209.691039268,2825.1131533622743,0.05628353938406987,376937.574342056,True,0.2492249702631776,0.23492389910085718,0.0,79,4
